dispnum,ccode1,ccode2,year,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,midongoing,midonset,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,version
31,255,710,1900,1,0,0,0,0,0,-9,-9,2,6,-9,-9,16,20,4,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,255,710,1901,1,0,0,0,0,0,-9,-9,2,6,-9,-9,16,20,4,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,300,710,1900,1,0,0,0,0,0,-9,-9,1,6,-9,-9,16,20,4,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,300,710,1901,1,0,0,0,0,0,-9,-9,1,6,-9,-9,16,20,4,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,325,710,1900,1,0,0,0,0,0,-9,-9,1,6,-9,-9,16,20,4,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,325,710,1901,1,0,0,0,0,0,-9,-9,1,6,-9,-9,16,20,4,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,365,710,1900,1,0,1,0,2,0,-9,-9,4,6,-9,-9,20,20,5,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,365,710,1901,1,0,1,0,2,0,-9,-9,4,6,-9,-9,20,20,5,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,710,740,1900,0,1,0,1,0,2,-9,-9,6,5,-9,-9,20,20,5,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,710,740,1901,0,1,0,1,0,2,-9,-9,6,5,-9,-9,20,20,5,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
38,2,200,1837,0,1,0,1,0,2,-9,-9,0,0,0,0,7,16,3,4,1,1,1,1,16,4,0,0,5,3,0,0,12,12,gml-2.0
40,710,740,1928,0,1,0,0,0,0,-9,-9,3,1,-9,-9,17,14,4,4,1,1,1,1,17,4,342,342,4,1,3,-9,4,3,gml-2.0
41,365,710,1929,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,1,1,1,1,20,5,209,209,3,1,6,-9,5,12,gml-2.0
43,255,710,1897,1,0,1,0,2,0,-9,-9,0,0,0,0,14,0,4,1,1,1,1,1,17,4,112,112,1,2,0,0,11,3,gml-2.0
43,255,710,1898,1,0,1,0,2,0,-9,-9,0,0,0,0,14,0,4,1,1,1,1,0,17,4,112,112,1,2,0,0,11,3,gml-2.0
50,2,365,1954,1,0,1,1,1,1,-9,-9,0,0,0,0,7,7,3,3,1,0,1,1,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,2,710,1953,1,0,1,1,1,1,-9,-9,0,2,0,-9,7,17,3,4,1,1,1,1,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,2,710,1954,1,0,1,1,1,1,-9,-9,0,2,0,-9,7,17,3,4,1,1,1,0,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,2,710,1955,1,0,1,1,1,1,-9,-9,0,2,0,-9,7,17,3,4,1,1,1,0,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,2,710,1956,1,0,1,1,1,1,-9,-9,0,2,0,-9,7,17,3,4,1,1,1,0,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,365,713,1954,0,1,1,1,1,1,-9,-9,0,2,0,-9,7,17,3,4,0,1,1,1,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,710,713,1953,0,1,1,1,1,1,-9,-9,2,2,-9,-9,17,17,4,4,1,1,1,1,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,710,713,1954,0,1,1,1,1,1,-9,-9,2,2,-9,-9,17,17,4,4,1,1,1,0,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,710,713,1955,0,1,1,1,1,1,-9,-9,2,2,-9,-9,17,17,4,4,1,1,1,0,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
50,710,713,1956,0,1,1,1,1,1,-9,-9,2,2,-9,-9,17,17,4,4,1,1,1,0,17,4,1092,1092,5,3,2,-9,2,2,gml-2.0
51,2,710,1950,0,1,0,0,0,0,-9,-9,6,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,710,1951,0,1,0,0,0,0,-9,-9,6,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,710,1952,0,1,0,0,0,0,-9,-9,6,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,710,1953,0,1,0,0,0,0,-9,-9,6,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,731,1950,0,1,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,731,1951,0,1,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,731,1952,0,1,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,2,731,1953,0,1,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,710,1950,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,710,1951,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,710,1952,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,710,1953,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,731,1950,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,731,1951,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,731,1952,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,20,731,1953,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,100,710,1951,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,100,710,1952,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,100,710,1953,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,100,731,1951,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,100,731,1952,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,100,731,1953,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,710,1950,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,710,1951,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,710,1952,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,710,1953,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,731,1950,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,731,1951,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,731,1952,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,200,731,1953,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,210,710,1951,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,210,710,1952,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,210,710,1953,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,210,731,1951,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,210,731,1952,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,210,731,1953,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,211,710,1951,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,211,710,1952,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,211,710,1953,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,211,731,1951,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,211,731,1952,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,211,731,1953,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,220,710,1951,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,220,710,1952,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,220,710,1953,0,1,0,0,0,0,-9,-9,4,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,220,731,1951,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,220,731,1952,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,220,731,1953,0,1,0,1,0,1,-9,-9,4,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
